commit	val_acc	peak_gb	status	description
2bf69c5	0.3400	45.1	keep	baseline (Qwen2.5-0.5B-Instruct, B=4, lr=5e-6, β=0.04, G=4, mb=2)
32fd877	0.3450	44.4	keep	drop ref model (β=0, clip-only PPO); 6 steps, best_ema=0.562
b2529c6	0.3400	44.0	keep	minibatch=1 (simpler, neutral val_acc); 7 steps
3ba6ca3	0.1250	36.4	discard	max_new_tokens=128 truncates GSM8K CoT → -21.5pp; 49 steps tho
7f49616	0.3300	46.7	discard	lr=1e-5 → -1pp, training overshoots (ema peaks step 4 then drops)
3931283	0.0200	51.5	discard	SFT warmup 60s wrecked greedy decoding (-32pp); training EMA still 0.41 but eval collapsed
b906621	0.3350	46.7	discard	temp=0.7 → peak EMA 0.625 (highest) but val_acc neutral (-0.5pp); sharper rollouts ≠ better policy
a40d2c9	0.3350	46.6	discard	shaped reward (+0.2 format bonus) → high EMA but val_acc neutral
892600f	0.3300	45.8	discard	SGD lr=5e-5: -1pp, EMA drifts down (unstable); no memory savings observed
f0ebc0c	0.3250	46.7	discard	G=8 B=2: high initial EMA 0.69 → 0.29 crash; less prompt diversity destabilizes
66c1502	0.3000	46.7	discard	grad clip 1.0: -4pp, EMA still crashes; tighter clip just shrinks effective lr
a33c835	0.3600	44.1	keep	lr cosine decay (peak 1e-5 → 0): +2pp, EMA peaks 0.66 then settles 0.43
a8c9865	0.3050	45.9	discard	lr peak 2e-5 cosine: -5.5pp, model wrecked in step 0; 1e-5 was the sweet spot
023b71e	0.0000	0.0	crash	eps=0.1 + cosine 1e-5: NaN probs at step 3; tighter clip + high lr destabilizes
5080867	0.3150	46.2	discard	cosine+temp=0.85: -4.5pp; low temp + decay constrains exploration too much
9dc349c	0.3300	46.2	discard	cosine+eps=0.3: -3pp; wider clip let destabilizing moves through
38f2c47	0.3750	44.1	keep	cosine decay + mb=2: +1.5pp over cosine alone, +3.5pp over baseline; second update at high lr is productive
1bd6019	0.3400	44.4	discard	cosine+mb=3: 3 updates is too many, only 3 steps, drops back to baseline
d18c637	0.3250	43.6	discard	cosine 1.5e-5 + mb=2: -5pp; mb=2 amplifies the higher peak past the sweet spot
eca2ea6	0.0000	48.0	discard	G=6+cosine+mb=2: model collapsed at step 0, 6 skips before, val_acc=0
04fdb36	0.2700	43.4	discard	Qwen2.5-0.5B base (no Instruct): -10pp; base has weaker math/format priors
2672419	0.3450	44.4	discard	cosine 7e-6 + mb=2: -3pp; lower peak loses too much early signal
4470e59	0.2900	44.5	discard	warmup 10% + cosine: -8.5pp; shorter peak phase loses too much early signal
960d4ea	0.3150	42.5	discard	B=6 + cosine + mb=2: -6pp, only 2 steps; per-step cost outweighs diversity gain
4325b4e	0.3400	44.4	discard	eps 0.25 + cosine + mb=2: -3.5pp; eps=0.2 sweet spot confirmed both directions
7ce8ec9	0.3400	44.1	discard	linear decay (vs cosine): -3.5pp; cosine's near-peak plateau gives more high-lr steps
de3a605	0.3300	45.2	discard	cosine to 1e-6 floor: -4.5pp; lr=0 tail apparently helps the policy settle
b789b49	0.3000	44.3	discard	20-min keep-config: -7.5pp, 18 steps overshoot the 5-min-tuned lr peak
64b7995	0.3400	44.4	keep	20-min + lr peak 5e-6 + cosine + mb=2: +4pp vs same-config-at-20min-1e-5; still overshoots a bit
b4fd7c6	0.3450	46.4	keep	20-min + lr 5e-6 + mb=1: +0.5pp, 22 steps, stable EMA (no overshoot)
3ecfe70	0.3900	46.4	keep	20-min + lr 1e-5 + mb=1: +4.5pp over prior 20-min keep, +5pp over 5-min best; 23 stable steps
